ctry_code,ctry_name,ctry_name_long,region_code,subregion_name,eff_date,end_date,timestamp
IRL,Ireland,Ireland,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037D7
IRN,Iran (Islamic Rep.),Iran (Islamic Republic of),EM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037D8
IRQ,Iraq,Iraq,EM,NULL,1988-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037D9
ISL,Iceland,Iceland,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037DA
ISR,Israel,Israel,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037DB
ITA,Italy,Italy,EU,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037DC
JAM,Jamaica,Jamaica,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037DD
JOR,Jordan,Jordan,EM,NULL,1988-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037DE
JPN,Japan,Japan,WP,OECD,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038A8
KAZ,Kazakhstan,Kazakhstan,EU,NULL,1992-08-19 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037E0
KEN,Kenya,Kenya,AF,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037E1
KGZ,Kyrgyzstan,Kyrgyzstan,EU,NULL,1992-05-07 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037E2
KHM,Cambodia,Cambodia,WP,MEKONG,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038A4
KIR,Kiribati,Kiribati,WP,PIC,1984-07-26 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038AF
KNA,Saint Kitts & Nevis,Saint Kitts and Nevis,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037E5
KOR,Republic of Korea,Republic of Korea,WP,OTHERS,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038C3
KWT,Kuwait,Kuwait,EM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037E7
LAO,Lao People's Dem Rep,Lao People's Democratic Republic,WP,MEKONG,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038A5
LBN,Lebanon,Lebanon,EM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037E9
